Domain,Is_Homoglyph,Base_Skeleton,Targeted_Brand_Detected,Substitutions_Identified,Techniques
aeon-jp-msweb-protocol.dvfgght.cn,NO,aeon-jp-msweb-protocol.dvfgght.cn,None,None,None
aeon-jp-msweb-protocol.fcsxjqi.cn,NO,aeon-jp-msweb-protocol.fcsxjqi.cn,None,None,None
aeonretail.mcvnbjf.com,NO,aeonretail.mcvnbjf.com,None,None,None
aerialpics.de,NO,aerialpics.de,None,None,None
aerodrome-4fp.pages.dev,NO,aerodrome-4fp.pages.dev,None,None,None
aesf2.pages.dev,NO,aesf2.pages.dev,None,None,None
aethir-award.pages.dev,NO,aethir-award.pages.dev,None,None,None
afcud.pages.dev,NO,afcud.pages.dev,None,None,None
afcvru.pages.dev,NO,afcvru.pages.dev,None,None,None
affsrew1.pages.dev,NO,affsrew1.pages.dev,None,None,None
afgfunding.pages.dev,NO,afgfunding.pages.dev,None,None,None
afootballteamwithlovefoundationuwaenweisifc5.pages.dev,YES,afootballteamwithbvefoundationuwaenweisifc5.pages.dev,None,lo (U+006C U+006F) -> b,Composite (ASCII)
afrfaerdfdafvfgdfg43535fdgw53443-sharepoint-file.pages.dev,NO,afrfaerdfdafvfgdfg43535fdgw53443-sharepoint-file.pages.dev,None,None,None
afyt51.pages.dev,NO,afyt51.pages.dev,None,None,None
agdunadgdge04.pages.dev,NO,agdunadgdge04.pages.dev,None,None,None
aged-dreac27.8re42b1g.workers.dev,NO,aged-dreac27.8re42b1g.workers.dev,None,None,None
aged-fog-132f.naimeiyx.workers.dev,NO,aged-fog-132f.naimeiyx.workers.dev,None,None,None
aged-heart-0a98.sdfhghjkllkj.workers.dev,NO,aged-heart-0a98.sdfhghjkllkj.workers.dev,None,None,None
aged-king-0a0d.sklute61.workers.dev,NO,aged-king-0a0d.sklute61.workers.dev,None,None,None
aged-meadow-3eab.iywxz2kh.workers.dev,NO,aged-meadow-3eab.iywxz2kh.workers.dev,None,None,None
aged-pond-b6fb.barzasurti.workers.dev,NO,aged-pond-b6fb.barzasurti.workers.dev,None,None,None
agfdhoeguyatsngcomuisnoatbf02.pages.dev,NO,agfdhoeguyatsngcomuisnoatbf02.pages.dev,None,None,None
aggiornamento-sella.com,YES,aggiomamento-sella.com,SELLA,rn (U+0072 U+006E) -> m,Composite (ASCII)
aggitatepro.pages.dev,NO,aggitatepro.pages.dev,None,None,None
agit-sg.javastoreid.workers.dev,NO,agit-sg.javastoreid.workers.dev,None,None,None
арple.com,YES,apple.com,APPLE,а (U+0430) -> a; р (U+0440) -> p,Single-Character
gmaıl.com,YES,gmail.com,GMAIL,ı (U+0131) -> i,Single-Character (Twin)
facébook.com,YES,facebook.com,FACEBOOK,é (U+00E9) -> e,Single-Character
rnicrosoft.com,YES,microsoft.com,MICROSOFT,rn (U+0072 U+006E) -> m,Composite (ASCII)
g໐໐gle.com,YES,google.com,GOOGLE,໐ (U+0ED0) -> o; ໐ (U+0ED0) -> o,Single-Character
cllntothethickof.com,YES,dlntothethickof.com,None,cl (U+0063 U+006C) -> d,Composite (ASCII)
